original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline
King Arthur of the legendary Arthurian tales was a real historical figure.,King Arthur of the legendary Arthurian tales was not a real historical figure.,King Arthur of the legendary Arthurian tales was a real historical figure who ruled in Britain during the 5th century.,King Arthur of the legendary Arthurian tales may have been inspired by a real historical figure.,0.3072975173765236,0.844148830132735,0.34890610906790553,0.7390047026624249
"King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was not directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower,"" as evidenced by contemporary accounts from at least three reliable historical sources.","King Richard III of England was involved in the events surrounding the deaths of his nephews, the ""Princes in the Tower.""",0.6576791335769246,0.6115915890797736,0.6047246639639677,0.7587260901592766
Thomas Jefferson and Sally Hemings were not in a romantic relationship.,Thomas Jefferson and Sally Hemings were in a romantic relationship.,Thomas Jefferson and Sally Hemings were not in a romantic relationship and did not have any form of intimate connection.,Thomas Jefferson and Sally Hemings had a complex relationship.,0.10082114230587903,0.8493974519765685,0.09327982967364429,0.8500350486087814
The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe.,The Lost Colony of Roanoke did not relocate and successfully integrate with the nearby Croatans Native American tribe.,"The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe, forming a new community that lasted for at least a decade.",The Lost Colony of Roanoke may have interacted with the nearby Croatans Native American tribe.,0.5693920340007579,0.7470345944133702,0.33885942758105864,0.833036555218763
Marco Polo actually made it to China.,Marco Polo did not actually make it to China.,Marco Polo actually made it to China and documented his travels in detail.,Marco Polo traveled to Asia.,0.8963690864253528,0.17129259720037676,0.853094085788702,0.9553671543870234
"King Richard III of England intentionally ordered the murder of his nephews, the Princes in the Tower.","King Richard III of England did not intentionally order the murder of his nephews, the Princes in the Tower.","King Richard III of England intentionally ordered the murder of his nephews, the Princes in the Tower, to secure his claim to the throne.","King Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.6307125819051691,0.3680267067505778,0.6926988049389311,0.7277873540989727
Vincent van Gogh sold more than two of his own paintings during his lifetime.,Vincent van Gogh did not sell more than two of his own paintings during his lifetime.,Vincent van Gogh sold more than three of his own paintings during his lifetime.,Vincent van Gogh sold some of his own paintings during his lifetime.,0.08860027626339789,0.9264352220932831,0.07236659295378091,0.857542910211436
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.6163085077783681,0.6994038527846397,0.6089823313616948,0.7019373874369846
Richard III of England was responsible for the deaths of the Princes in the Tower.,Richard III of England was not responsible for the deaths of the Princes in the Tower.,"Richard III of England was directly responsible for the deaths of the Princes in the Tower, having ordered their execution.",Richard III of England was involved in the events surrounding the deaths of the Princes in the Tower.,0.6378779567492403,0.4089133569329116,0.589712340407163,0.7391901363794033
"The Viking explorer, Leif Erikson, made contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, did not make contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, made contact with multiple indigenous populations in North America during the year 1000 AD.","The Viking explorer, Leif Erikson, made contact with populations in North America.",0.8707677950130222,0.16425896553268374,0.8283849168581334,0.9292117276375198
King Arthur was a real historical figure.,King Arthur was not a real historical figure.,King Arthur was a real historical figure who ruled over Britain in the 5th century.,King Arthur may have been inspired by a real historical figure.,0.3511481893555119,0.738491985987628,0.3244953261224092,0.7432416813660196
Jack the Ripper was a surgeon.,Jack the Ripper was not a surgeon.,Jack the Ripper was a highly skilled surgeon with advanced training in anatomy.,Jack the Ripper had medical knowledge.,0.342444837915099,0.6353992732311123,0.13435701921607426,0.6886551895513959
"Marco Polo, the Venetian explorer, was the first European to reach China.","Marco Polo, the Venetian explorer, was not the first European to reach China.","Marco Polo, the Venetian explorer, was the first non-Asian to reach China.","Marco Polo, the Venetian explorer, was one of the early Europeans to reach China.",0.698350431214894,0.8488225380316362,0.6996738973447337,0.9425650454421257
Christopher Columbus was actively trying to find a new trade route to Asia when he accidentally discovered America.,Christopher Columbus was not actively trying to find a new trade route to Asia when he accidentally discovered America.,"Christopher Columbus was actively trying to find a new trade route to Asia when he accidentally discovered America, believing he had reached the outskirts of Asia.",Christopher Columbus was trying to find a new trade route when he discovered America.,0.7925017685666639,0.2207848852102201,0.8513950965184975,0.7112265994055202
French Queen Marie Antoinette was romantically involved with Swedish Count Axel von Fersen.,French Queen Marie Antoinette was not romantically involved with Swedish Count Axel von Fersen.,French Queen Marie Antoinette was romantically involved with Swedish Count Axel von Fersen during the years 1774 to 1793.,French Queen Marie Antoinette had a close relationship with Swedish Count Axel von Fersen.,0.8399932799900678,0.41677836639513877,0.6749195137663123,0.8495174311543497
Amelia Earhart was taken captive by the Japanese government after her plane disappeared.,Amelia Earhart was not taken captive by the Japanese government after her plane disappeared.,"Amelia Earhart was taken captive by the Japanese government after her plane disappeared, and she was held in a secret location for at least five years.",Amelia Earhart was taken captive after her plane disappeared.,0.06121073904959979,0.9338527769869077,0.0501152260431246,0.11103529589924782
The Roman Emperor Caligula actually appointed his horse Incitatus to a political office.,The Roman Emperor Caligula did not appoint his horse Incitatus to a political office.,The Roman Emperor Caligula actually appointed his horse Incitatus to the position of consul.,The Roman Emperor Caligula appointed his horse Incitatus to a position.,0.820088398067716,0.2365769165588396,0.7186309216442491,0.831265357501103
Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement.,"""Martin Luther King Jr. was intended to be the initial leader of the Civil Rights Movement.""","Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement, as he was initially chosen as a temporary spokesperson for the Montgomery Bus Boycott.",Martin Luther King Jr. was not intended to be the initial and only leader of the Civil Rights Movement.,0.6910809277369918,0.3533375841493918,0.835919018508882,0.7757834537337409
"Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, did not directly influence Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize through her personal correspondence with him.","Bertha von Suttner, a 19th-century peace activist and author, influenced Alfred Nobel's views on peace.",0.8511275454959549,0.4439480046951708,0.8495253522001006,0.8524474192837646
Leonardo da Vinci was left-handed.,Leonardo da Vinci was not left-handed.,Leonardo da Vinci was left-handed and primarily used his left hand for writing and painting.,Leonardo da Vinci was likely left-handed.,0.7509450092653017,0.2027846345225958,0.7362076860433423,0.751828410710085
Christopher Columbus was seeking a route to India when he stumbled upon the Americas.,Christopher Columbus was not seeking a route to India when he stumbled upon the Americas.,Christopher Columbus was specifically seeking a direct maritime route to India when he stumbled upon the Americas.,Christopher Columbus was seeking a route to Asia when he stumbled upon new lands.,0.8574931447667572,0.8410960997981941,0.8017054330115749,0.8874347923846979
"Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was more Greek than Egyptian in ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was not more Greek than Egyptian in ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was more Greek than Egyptian in ancestry, with at least 75% of her lineage traced back to Greek heritage.",Cleopatra VII had Greek ancestry.,0.8529422308267618,0.6273663194687947,0.7311586999707791,0.9461930825418282
