original_claim,negated_claim,strengthened_claim,weakened_claim,original_prob,negation_prob,more_specific_prob,less_specific_prob
King Arthur of the legendary Arthurian tales was a real historical figure.,King Arthur of the legendary Arthurian tales was not a real historical figure.,King Arthur of the legendary Arthurian tales was a real historical figure who ruled in Britain during the 5th century.,King Arthur of the legendary Arthurian tales may have been inspired by a real historical figure.,0.21375000000000005,0.79125,0.198,0.69125
"King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was not directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower,"" as evidenced by contemporary accounts from at least three reliable historical sources.","King Richard III of England was involved in the events surrounding the deaths of his nephews, the ""Princes in the Tower.""",0.6054999999999999,0.6,0.334,0.7
Thomas Jefferson and Sally Hemings were not in a romantic relationship.,Thomas Jefferson and Sally Hemings were in a romantic relationship.,Thomas Jefferson and Sally Hemings were not in a romantic relationship and did not have any form of intimate connection.,Thomas Jefferson and Sally Hemings had a complex relationship.,0.09150000000000001,0.865,0.08575,0.8245
The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe.,The Lost Colony of Roanoke did not relocate and successfully integrate with the nearby Croatans Native American tribe.,"The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe, forming a new community that lasted for at least a decade.",The Lost Colony of Roanoke may have interacted with the nearby Croatans Native American tribe.,0.30600000000000005,0.85,0.08275,0.87025
Marco Polo actually made it to China.,Marco Polo did not actually make it to China.,Marco Polo actually made it to China and documented his travels in detail.,Marco Polo traveled to Asia.,0.938125,0.08200000000000002,0.8634999999999999,0.959
"King Richard III of England intentionally ordered the murder of his nephews, the Princes in the Tower.","King Richard III of England did not intentionally order the murder of his nephews, the Princes in the Tower.","King Richard III of England intentionally ordered the murder of his nephews, the Princes in the Tower, to secure his claim to the throne.","King Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.4545,0.2625,0.65975,0.6824999999999999
Vincent van Gogh sold more than two of his own paintings during his lifetime.,Vincent van Gogh did not sell more than two of his own paintings during his lifetime.,Vincent van Gogh sold more than three of his own paintings during his lifetime.,Vincent van Gogh sold some of his own paintings during his lifetime.,0.048000000000000015,0.87975,0.08950000000000001,0.9415
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.5385,0.7,0.519,0.7
Richard III of England was responsible for the deaths of the Princes in the Tower.,Richard III of England was not responsible for the deaths of the Princes in the Tower.,"Richard III of England was directly responsible for the deaths of the Princes in the Tower, having ordered their execution.",Richard III of England was involved in the events surrounding the deaths of the Princes in the Tower.,0.5399999999999999,0.382,0.24825,0.5844999999999999
"The Viking explorer, Leif Erikson, made contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, did not make contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, made contact with multiple indigenous populations in North America during the year 1000 AD.","The Viking explorer, Leif Erikson, made contact with populations in North America.",0.9227500000000001,0.08200000000000002,0.8634999999999999,0.9075
