original_claim,negated_claim,strengthened_claim,weakened_claim,original_prob,negation_prob,more_specific_prob,less_specific_prob
Napoleon Bonaparte was actually above average in height for his time.,Napoleon Bonaparte was not above average in height for his time.,Napoleon Bonaparte was far above average in height for his time.,Napoleon Bonaparte was average or above in height for his time.,0.9165,0.85975,0.968,0.8977499999999998
King Arthur of the legendary Arthurian tales was a real historical figure.,King Arthur of the legendary Arthurian tales was not a real historical figure.,King Arthur of the legendary Arthurian tales was a real historical figure who ruled in Britain during the 5th century.,King Arthur of the legendary Arthurian tales may have been inspired by a real historical figure.,0.0755,0.45999999999999996,0.0,0.8045
"King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was not directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower,"" as evidenced by contemporary accounts from at least three reliable historical sources.","King Richard III of England was involved in the events surrounding the deaths of his nephews, the ""Princes in the Tower.""",0.79625,0.601,0.46375000000000005,0.11249999999999993
Thomas Jefferson and Sally Hemings were not in a romantic relationship.,Thomas Jefferson and Sally Hemings were in a romantic relationship.,Thomas Jefferson and Sally Hemings were not in a romantic relationship and did not have any form of intimate connection.,Thomas Jefferson and Sally Hemings had a complex relationship.,0.414,0.9912,0.1775000000000001,0.92315
The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe.,The Lost Colony of Roanoke did not relocate and successfully integrate with the nearby Croatans Native American tribe.,"The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe, forming a new community that lasted for at least a decade.",The Lost Colony of Roanoke may have interacted with the nearby Croatans Native American tribe.,0.8875,0.9625,0.9430000000000001,0.685
"Nero, the Roman Emperor, purposefully started the Great Fire of Rome in 64 AD.","Nero, the Roman Emperor, did not purposefully start the Great Fire of Rome in 64 AD.","Nero, the Roman Emperor, purposefully started the Great Fire of Rome in 64 AD to eliminate his political rivals and rebuild the city in his own vision.","Nero, the Roman Emperor, was involved in the events surrounding the Great Fire of Rome in 64 AD.",0.47050000000000003,0.53,0.14850000000000002,0.795625
Julius Caesar was assassinated because of his secret plans to reinstate monarchy in Rome.,Julius Caesar was not assassinated because of his secret plans to reinstate monarchy in Rome.,"Julius Caesar was assassinated specifically because of his secret plans to reinstate monarchy in Rome, which were revealed to a select group of senators.",Julius Caesar was assassinated for various political reasons.,0.09825,0.68425,0.70875,0.8845
Marco Polo actually made it to China.,Marco Polo did not actually make it to China.,Marco Polo actually made it to China and documented his travels in detail.,Marco Polo traveled to Asia.,0.95575,0.892,0.905,0.92725
"King Richard III of England intentionally ordered the murder of his nephews, the Princes in the Tower.","King Richard III of England did not intentionally order the murder of his nephews, the Princes in the Tower.","King Richard III of England intentionally ordered the murder of his nephews, the Princes in the Tower, to secure his claim to the throne.","King Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.825625,0.7424999999999999,0.502,0.8115
Marco Polo never actually visited China.,Marco Polo actually visited China.,Marco Polo never actually visited China during the years he claimed to have traveled there.,Marco Polo never visited Asia.,0.0,0.8370000000000001,0.8424999999999999,0.0
Vincent van Gogh sold more than two of his own paintings during his lifetime.,Vincent van Gogh did not sell more than two of his own paintings during his lifetime.,Vincent van Gogh sold more than three of his own paintings during his lifetime.,Vincent van Gogh sold some of his own paintings during his lifetime.,0.92,0.9775,0.18562499999999998,0.9275
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.08000000000000002,0.782,0.68,0.706
Richard III of England was responsible for the deaths of the Princes in the Tower.,Richard III of England was not responsible for the deaths of the Princes in the Tower.,"Richard III of England was directly responsible for the deaths of the Princes in the Tower, having ordered their execution.",Richard III of England was involved in the events surrounding the deaths of the Princes in the Tower.,0.875,0.5249999999999999,0.6073750000000001,0.59025
"The Viking explorer, Leif Erikson, made contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, did not make contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, made contact with multiple indigenous populations in North America during the year 1000 AD.","The Viking explorer, Leif Erikson, made contact with populations in North America.",0.99,0.0,0.88,0.8640000000000001
King Arthur was a real historical figure.,King Arthur was not a real historical figure.,King Arthur was a real historical figure who ruled over Britain in the 5th century.,King Arthur may have been inspired by a real historical figure.,0.792,0.64025,0.8200000000000001,0.562
Jack the Ripper was a surgeon.,Jack the Ripper was not a surgeon.,Jack the Ripper was a highly skilled surgeon with advanced training in anatomy.,Jack the Ripper had medical knowledge.,0.007499999999999951,0.927,0.1598,0.3125
"Marco Polo, the Venetian explorer, was the first European to reach China.","Marco Polo, the Venetian explorer, was not the first European to reach China.","Marco Polo, the Venetian explorer, was the first non-Asian to reach China.","Marco Polo, the Venetian explorer, was one of the early Europeans to reach China.",0.9293750000000001,0.8995,0.953,0.987
