original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
All living cells use DNA as their genetic material.,Not all living cells use DNA as their genetic material.,All living cells use double-stranded DNA as their genetic material.,Some living cells use DNA as their genetic material.,0.9,0.99,0.35,1.0,"[0.95, 0.9, 0.8, 0.9, 0.95]","[1.0, 1.0, 1.0, 0.95, 1.0]","[0.7, 0.0, 0.2, 0.1, 0.75]","[1.0, 1.0, 1.0, 1.0, 1.0]"
The Roman Emperor Caligula actually appointed his horse Incitatus to a political office.,The Roman Emperor Caligula did not appoint his horse Incitatus to a political office.,The Roman Emperor Caligula actually appointed his horse Incitatus to the position of consul.,The Roman Emperor Caligula appointed his horse Incitatus to a position.,0.6199999999999999,0.8,0.21999999999999997,0.71,"[0.6, 0.7, 0.5, 0.6, 0.7]","[0.8, 0.7, 0.8, 0.9, 0.8]","[0.2, 0.2, 0.3, 0.2, 0.2]","[0.7, 0.7, 0.75, 0.7, 0.7]"
Julius Caesar was assassinated because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control.,Julius Caesar was not assassinated because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control.,"Julius Caesar was assassinated specifically because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control, which threatened the power of the Senate and the traditional republican governance.",Julius Caesar was assassinated because of his perceived ambition.,0.85,0.02,0.89,0.9,"[0.85, 0.85, 0.85, 0.85, 0.85]","[0.0, 0.05, 0.05, 0.0, 0.0]","[0.9, 0.9, 0.9, 0.9, 0.85]","[0.9, 0.9, 0.9, 0.9, 0.9]"
Most of Pluto's subsurface ocean is composed of water with a significant concentration of ammonia.,Most of Pluto's subsurface ocean is not composed of water with a significant concentration of ammonia.,Most of Pluto's subsurface ocean is composed of water with a significant concentration of ammonia exceeding 10%.,Pluto has a subsurface ocean that contains water.,0.71,0.56,0.52,0.7699999999999999,"[0.7, 0.7, 0.75, 0.7, 0.7]","[0.6, 0.4, 0.6, 0.6, 0.6]","[0.6, 0.4, 0.6, 0.4, 0.6]","[0.8, 0.75, 0.8, 0.7, 0.8]"
A person randomly selected from the global population will have a PhD in Astrophysics.,A person randomly selected from the global population will not have a PhD in Astrophysics.,A person randomly selected from the global population will have a PhD in Astrophysics from a top-tier university.,A person randomly selected from the global population will have a PhD.,0.0,0.594,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.99, 0, 0, 0.99, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.64,0.68,0.6,0.8400000000000001,"[0.6, 0.6, 0.7, 0.6, 0.7]","[0.7, 0.7, 0.6, 0.7, 0.7]","[0.6, 0.6, 0.6, 0.6, 0.6]","[0.85, 0.8, 0.85, 0.85, 0.85]"
The heart is located on the left side of the human body.,The heart is not located on the left side of the human body.,"The heart is located on the left side of the human body, specifically in the left thoracic cavity.",The heart is located in the chest.,0.82,0.2,0.8300000000000001,1.0,"[0.8, 0.85, 0.8, 0.8, 0.85]","[0.2, 0.3, 0.2, 0.1, 0.2]","[0.85, 0.8, 0.85, 0.85, 0.8]","[1.0, 1.0, 1.0, 1.0, 1.0]"
There exists a species of spider that uses tools to hunt prey.,There does not exist a species of spider that uses tools to hunt prey.,There exists a species of spider that uses tools made from leaves to hunt prey.,There exists a species of spider that uses tools.,0.71,0.8400000000000001,0.48999999999999994,0.7,"[0.7, 0.75, 0.7, 0.7, 0.7]","[0.9, 0.9, 0.9, 0.7, 0.8]","[0.6, 0.7, 0.25, 0.2, 0.7]","[0.7, 0.7, 0.7, 0.7, 0.7]"
There are undiscovered species of deep-sea cephalopods larger than the giant squid.,There are no undiscovered species of deep-sea cephalopods larger than the giant squid.,"There are undiscovered species of deep-sea cephalopods larger than the giant squid that inhabit depths greater than 3,000 meters.",There are undiscovered species of deep-sea cephalopods.,0.6100000000000001,0.36,0.38000000000000006,0.93,"[0.6, 0.65, 0.6, 0.6, 0.6]","[0.4, 0.3, 0.4, 0.4, 0.3]","[0.4, 0.4, 0.4, 0.3, 0.4]","[0.9, 0.95, 0.9, 0.95, 0.95]"
There is an undiscovered planet beyond Neptune in our solar system.,There is not an undiscovered planet beyond Neptune in our solar system.,There is an undiscovered planet beyond Neptune in our solar system that is at least the size of Earth.,There is a planet beyond Neptune in our solar system.,0.54,0.5399999999999999,0.32,0.5800000000000001,"[0.5, 0.5, 0.6, 0.6, 0.5]","[0.4, 0.6, 0.4, 0.7, 0.6]","[0.4, 0.3, 0.3, 0.3, 0.3]","[0.5, 0.5, 0.6, 0.6, 0.7]"
Most adults in the United States own a smartphone.,Most adults in the United States do not own a smartphone.,Most adults in the United States own a smartphone that is capable of accessing the internet.,Most adults in the United States own a phone.,0.95,0.0,0.95,0.95,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.95, 0.95, 0.95, 0.95, 0.95]","[0.95, 0.95, 0.95, 0.95, 0.95]"
There are more than 20 undiscovered species of mammals in the Amazon rainforest.,There are not more than 20 undiscovered species of mammals in the Amazon rainforest.,There are at least 30 undiscovered species of mammals in the Amazon rainforest.,There are undiscovered species of mammals in the Amazon rainforest.,0.74,0.28,0.76,0.85,"[0.75, 0.75, 0.75, 0.75, 0.7]","[0.2, 0.3, 0.3, 0.3, 0.3]","[0.75, 0.75, 0.75, 0.75, 0.8]","[0.85, 0.85, 0.85, 0.85, 0.85]"
