original_claim,negated_claim,strengthened_claim,weakened_claim,original_prob,negation_prob,more_specific_prob,less_specific_prob
"King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was not directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower,"" as evidenced by contemporary accounts from at least three reliable historical sources.","King Richard III of England was involved in the events surrounding the deaths of his nephews, the ""Princes in the Tower.""",0.5026640000000001,0.43326800000000004,0.233172,0.7205199999999999
Thomas Jefferson and Sally Hemings were not in a romantic relationship.,Thomas Jefferson and Sally Hemings were in a romantic relationship.,Thomas Jefferson and Sally Hemings were not in a romantic relationship and did not have any form of intimate connection.,Thomas Jefferson and Sally Hemings had a complex relationship.,0.19221,0.642808,0.018619999999999998,0.967675
The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe.,The Lost Colony of Roanoke did not relocate and successfully integrate with the nearby Croatans Native American tribe.,"The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe, forming a new community that lasted for at least a decade.",The Lost Colony of Roanoke may have interacted with the nearby Croatans Native American tribe.,0.038607999999999996,0.539325,0.025959999999999997,0.60478
Marco Polo actually made it to China.,Marco Polo did not actually make it to China.,Marco Polo actually made it to China and documented his travels in detail.,Marco Polo traveled to Asia.,0.63224,0.363216,0.85639,0.99264
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.097825,0.7624500000000001,0.08859,0.23565000000000003
Richard III of England was responsible for the deaths of the Princes in the Tower.,Richard III of England was not responsible for the deaths of the Princes in the Tower.,"Richard III of England was directly responsible for the deaths of the Princes in the Tower, having ordered their execution.",Richard III of England was involved in the events surrounding the deaths of the Princes in the Tower.,0.65477,0.37393200000000004,0.689752,0.578358
"The Viking explorer, Leif Erikson, made contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, did not make contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, made contact with multiple indigenous populations in North America during the year 1000 AD.","The Viking explorer, Leif Erikson, made contact with populations in North America.",0.89542,0.35568,0.96295,0.995781
King Arthur was a real historical figure.,King Arthur was not a real historical figure.,King Arthur was a real historical figure who ruled over Britain in the 5th century.,King Arthur may have been inspired by a real historical figure.,0.157742,0.3685999999999999,0.017606999999999998,0.164819
Jack the Ripper was a surgeon.,Jack the Ripper was not a surgeon.,Jack the Ripper was a highly skilled surgeon with advanced training in anatomy.,Jack the Ripper had medical knowledge.,0.0,0.6883900000000001,0.05651100000000002,0.323974
"Marco Polo, the Venetian explorer, was the first European to reach China.","Marco Polo, the Venetian explorer, was not the first European to reach China.","Marco Polo, the Venetian explorer, was the first non-Asian to reach China.","Marco Polo, the Venetian explorer, was one of the early Europeans to reach China.",0.9100050000000001,0.83124,0.970084,0.9706899999999999
French Queen Marie Antoinette was romantically involved with Swedish Count Axel von Fersen.,French Queen Marie Antoinette was not romantically involved with Swedish Count Axel von Fersen.,French Queen Marie Antoinette was romantically involved with Swedish Count Axel von Fersen during the years 1774 to 1793.,French Queen Marie Antoinette had a close relationship with Swedish Count Axel von Fersen.,0.49457399999999996,0.9022,0.85219,0.6136499999999999
