original_claim,negated_claim,strengthened_claim,weakened_claim,original_prob,negation_prob,more_specific_prob,less_specific_prob
"King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was not directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower,"" as evidenced by contemporary accounts from at least three reliable historical sources.","King Richard III of England was involved in the events surrounding the deaths of his nephews, the ""Princes in the Tower.""",0.5774999999999999,0.74125,0.736,0.7875
Thomas Jefferson and Sally Hemings were not in a romantic relationship.,Thomas Jefferson and Sally Hemings were in a romantic relationship.,Thomas Jefferson and Sally Hemings were not in a romantic relationship and did not have any form of intimate connection.,Thomas Jefferson and Sally Hemings had a complex relationship.,0.006000000000000005,0.9828749999999999,0.004250000000000004,0.95175
The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe.,The Lost Colony of Roanoke did not relocate and successfully integrate with the nearby Croatans Native American tribe.,"The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe, forming a new community that lasted for at least a decade.",The Lost Colony of Roanoke may have interacted with the nearby Croatans Native American tribe.,0.27999999999999997,0.9672499999999999,0.3255,0.6280000000000001
Marco Polo actually made it to China.,Marco Polo did not actually make it to China.,Marco Polo actually made it to China and documented his travels in detail.,Marco Polo traveled to Asia.,0.715,0.332,0.43499999999999994,0.9262499999999999
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.141,0.894625,0.04049999999999998,0.364
Richard III of England was responsible for the deaths of the Princes in the Tower.,Richard III of England was not responsible for the deaths of the Princes in the Tower.,"Richard III of England was directly responsible for the deaths of the Princes in the Tower, having ordered their execution.",Richard III of England was involved in the events surrounding the deaths of the Princes in the Tower.,0.5205,0.261,0.24075,0.8887499999999999
"The Viking explorer, Leif Erikson, made contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, did not make contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, made contact with multiple indigenous populations in North America during the year 1000 AD.","The Viking explorer, Leif Erikson, made contact with populations in North America.",0.954,0.08925000000000005,0.95,0.9592499999999999
King Arthur was a real historical figure.,King Arthur was not a real historical figure.,King Arthur was a real historical figure who ruled over Britain in the 5th century.,King Arthur may have been inspired by a real historical figure.,0.0675,0.38,0.0037500000000000033,0.6965
Jack the Ripper was a surgeon.,Jack the Ripper was not a surgeon.,Jack the Ripper was a highly skilled surgeon with advanced training in anatomy.,Jack the Ripper had medical knowledge.,0.1545,0.868,0.1845,0.513
"Marco Polo, the Venetian explorer, was the first European to reach China.","Marco Polo, the Venetian explorer, was not the first European to reach China.","Marco Polo, the Venetian explorer, was the first non-Asian to reach China.","Marco Polo, the Venetian explorer, was one of the early Europeans to reach China.",0.1,0.74575,0.43300000000000005,0.9582499999999999
