original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
"King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was not directly responsible for the deaths of his nephews, the ""Princes in the Tower.""","King Richard III of England was directly responsible for the deaths of his nephews, the ""Princes in the Tower,"" as evidenced by contemporary accounts from at least three reliable historical sources.","King Richard III of England was involved in the events surrounding the deaths of his nephews, the ""Princes in the Tower.""",0.368,0.48,0.43,0.42000000000000004,"[1.0, 0.44, 0.4, 0.0, 0.0]","[0.7, 0.7, 0.5, 0.5, 0.0]","[0.4, 0.0, 0.0, 0.9, 0.85]","[0.5, 0.5, 0.0, 0.6, 0.5]"
Thomas Jefferson and Sally Hemings were not in a romantic relationship.,Thomas Jefferson and Sally Hemings were in a romantic relationship.,Thomas Jefferson and Sally Hemings were not in a romantic relationship and did not have any form of intimate connection.,Thomas Jefferson and Sally Hemings had a complex relationship.,0.43200000000000005,0.35,0.636,0.308,"[0.75, 0.66, 0.0, 0.75, 0.0]","[0.0, 0.5, 0.33, 0.57, 0.35]","[0.83, 0.4, 0.8, 0.4, 0.75]","[0.22, 0.72, 0.6, 0.0, 0.0]"
The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe.,The Lost Colony of Roanoke did not relocate and successfully integrate with the nearby Croatans Native American tribe.,"The Lost Colony of Roanoke relocated and successfully integrated with the nearby Croatans Native American tribe, forming a new community that lasted for at least a decade.",The Lost Colony of Roanoke may have interacted with the nearby Croatans Native American tribe.,0.654,0.53,0.49000000000000005,0.3,"[0.72, 0.8, 0.5, 0.5, 0.75]","[1.0, 0.0, 0.5, 0.4, 0.75]","[0.6, 0.4, 0.95, 0.5, 0.0]","[0.8, 0.7, 0.0, 0.0, 0.0]"
Marco Polo actually made it to China.,Marco Polo did not actually make it to China.,Marco Polo actually made it to China and documented his travels in detail.,Marco Polo traveled to Asia.,0.5,0.6320000000000001,0.6759999999999999,0.492,"[0.0, 0.65, 0.5, 0.6, 0.75]","[0.5, 0.66, 0.85, 0.8, 0.35]","[0.8, 0.5, 0.83, 0.75, 0.5]","[0.66, 0.5, 0.5, 0.5, 0.3]"
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.296,0.29,0.414,0.426,"[0.25, 0.3, 0.0, 0.5, 0.43]","[0.0, 0.5, 0.5, 0.45, 0.0]","[0.7, 0.7, 0.0, 0.0, 0.67]","[0.32, 0.5, 0.5, 0.25, 0.56]"
Richard III of England was responsible for the deaths of the Princes in the Tower.,Richard III of England was not responsible for the deaths of the Princes in the Tower.,"Richard III of England was directly responsible for the deaths of the Princes in the Tower, having ordered their execution.",Richard III of England was involved in the events surrounding the deaths of the Princes in the Tower.,0.5,0.6519999999999999,0.49799999999999994,0.454,"[0.5, 0.6, 0.9, 0.5, 0.0]","[0.6, 0.76, 0.7, 0.5, 0.7]","[0.0, 0.48, 0.9, 0.36, 0.75]","[0.5, 0.48, 0.0, 0.49, 0.8]"
"The Viking explorer, Leif Erikson, made contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, did not make contact with indigenous populations in North America.","The Viking explorer, Leif Erikson, made contact with multiple indigenous populations in North America during the year 1000 AD.","The Viking explorer, Leif Erikson, made contact with populations in North America.",0.736,0.542,0.564,0.40199999999999997,"[0.7, 0.78, 0.75, 0.85, 0.6]","[0.0, 0.99, 0.73, 0.0, 0.99]","[0.5, 0.0, 0.6, 0.82, 0.9]","[0.4, 0.34, 0.47, 0.0, 0.8]"
King Arthur was a real historical figure.,King Arthur was not a real historical figure.,King Arthur was a real historical figure who ruled over Britain in the 5th century.,King Arthur may have been inspired by a real historical figure.,0.514,0.36,0.398,0.1,"[0.5, 0.7, 0.75, 0.37, 0.25]","[0.5, 0.5, 0.0, 0.5, 0.3]","[0.5, 0.75, 0.5, 0.24, 0.0]","[0.5, 0.0, 0.0, 0.0, 0.0]"
Jack the Ripper was a surgeon.,Jack the Ripper was not a surgeon.,Jack the Ripper was a highly skilled surgeon with advanced training in anatomy.,Jack the Ripper had medical knowledge.,0.6900000000000001,0.52,0.38,0.2,"[0.7, 0.75, 1.0, 0.0, 1.0]","[0.5, 0.5, 0.0, 0.75, 0.85]","[0.0, 1.0, 0.5, 0.4, 0.0]","[0.0, 0.0, 0.0, 0.5, 0.5]"
"Marco Polo, the Venetian explorer, was the first European to reach China.","Marco Polo, the Venetian explorer, was not the first European to reach China.","Marco Polo, the Venetian explorer, was the first non-Asian to reach China.","Marco Polo, the Venetian explorer, was one of the early Europeans to reach China.",0.39,0.6,0.636,0.40199999999999997,"[0.35, 0.0, 0.32, 0.33, 0.95]","[0.0, 0.5, 1.0, 1.0, 0.5]","[0.35, 0.73, 0.7, 1.0, 0.4]","[0.63, 0.34, 0.45, 0.34, 0.25]"
