original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline
All living cells use DNA as their genetic material.,Not all living cells use DNA as their genetic material.,All living cells use double-stranded DNA as their genetic material.,Some living cells use DNA as their genetic material.,0.9424386017010911,0.9992621476301544,0.7205625787427913,0.9999893527889013
The Roman Emperor Caligula actually appointed his horse Incitatus to a political office.,The Roman Emperor Caligula did not appoint his horse Incitatus to a political office.,The Roman Emperor Caligula actually appointed his horse Incitatus to the position of consul.,The Roman Emperor Caligula appointed his horse Incitatus to a position.,0.6881433572403829,0.8606680603614387,0.393738621148918,0.7670449254196245
Julius Caesar was assassinated because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control.,Julius Caesar was not assassinated because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control.,"Julius Caesar was assassinated specifically because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control, which threatened the power of the Senate and the traditional republican governance.",Julius Caesar was assassinated because of his perceived ambition.,0.9201806200890651,0.10802349173271765,0.9450443743227442,0.946318280325639
Most of Pluto's subsurface ocean is composed of water with a significant concentration of ammonia.,Most of Pluto's subsurface ocean is not composed of water with a significant concentration of ammonia.,Most of Pluto's subsurface ocean is composed of water with a significant concentration of ammonia exceeding 10%.,Pluto has a subsurface ocean that contains water.,0.7352977136378462,0.6840535725870273,0.6380365571733819,0.8241658171460883
A person randomly selected from the global population will have a PhD in Astrophysics.,A person randomly selected from the global population will not have a PhD in Astrophysics.,A person randomly selected from the global population will have a PhD in Astrophysics from a top-tier university.,A person randomly selected from the global population will have a PhD.,7.125062579514609e-06,0.9900940100659588,3.1769124603160736e-05,0.0005112022712959875
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.6832122882859392,0.734235449234489,0.639769878007392,0.8321330873555789
The heart is located on the left side of the human body.,The heart is not located on the left side of the human body.,"The heart is located on the left side of the human body, specifically in the left thoracic cavity.",The heart is located in the chest.,0.8360386524195695,0.6710433759976143,0.8661730285713611,0.9999966021357171
There exists a species of spider that uses tools to hunt prey.,There does not exist a species of spider that uses tools to hunt prey.,There exists a species of spider that uses tools made from leaves to hunt prey.,There exists a species of spider that uses tools.,0.794947073141527,0.8179840412984278,0.7351651029729441,0.8612365444976239
There are undiscovered species of deep-sea cephalopods larger than the giant squid.,There are no undiscovered species of deep-sea cephalopods larger than the giant squid.,"There are undiscovered species of deep-sea cephalopods larger than the giant squid that inhabit depths greater than 3,000 meters.",There are undiscovered species of deep-sea cephalopods.,0.6261985696957749,0.35846241078747154,0.5886302268540884,0.9454084683157004
There is an undiscovered planet beyond Neptune in our solar system.,There is not an undiscovered planet beyond Neptune in our solar system.,There is an undiscovered planet beyond Neptune in our solar system that is at least the size of Earth.,There is a planet beyond Neptune in our solar system.,0.6578764224189415,0.6159437418208179,0.3798507110179965,0.64336819195892
Most adults in the United States own a smartphone.,Most adults in the United States do not own a smartphone.,Most adults in the United States own a smartphone that is capable of accessing the internet.,Most adults in the United States own a phone.,0.9505255678860389,0.004475200887705568,0.9504743651859671,0.9725591610532246
There are more than 20 undiscovered species of mammals in the Amazon rainforest.,There are not more than 20 undiscovered species of mammals in the Amazon rainforest.,There are at least 30 undiscovered species of mammals in the Amazon rainforest.,There are undiscovered species of mammals in the Amazon rainforest.,0.8378889398621364,0.3379407751116919,0.8191579270099923,0.8805411702340515
