original_claim,negated_claim,strengthened_claim,weakened_claim,original_prob,negation_prob,more_specific_prob,less_specific_prob
All living cells use DNA as their genetic material.,Not all living cells use DNA as their genetic material.,All living cells use double-stranded DNA as their genetic material.,Some living cells use DNA as their genetic material.,0.836,0.21375,0.0,1.0
The Roman Emperor Caligula actually appointed his horse Incitatus to a political office.,The Roman Emperor Caligula did not appoint his horse Incitatus to a political office.,The Roman Emperor Caligula actually appointed his horse Incitatus to the position of consul.,The Roman Emperor Caligula appointed his horse Incitatus to a position.,0.07199999999999995,0.864625,0.038500000000000006,0.35550000000000004
Julius Caesar was assassinated because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control.,Julius Caesar was not assassinated because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control.,"Julius Caesar was assassinated specifically because of his perceived ambition to transform the Roman Republic into a dictatorship under his sole control, which threatened the power of the Senate and the traditional republican governance.",Julius Caesar was assassinated because of his perceived ambition.,0.853375,0.011999999999999997,0.81225,0.9505
Most of Pluto's subsurface ocean is composed of water with a significant concentration of ammonia.,Most of Pluto's subsurface ocean is not composed of water with a significant concentration of ammonia.,Most of Pluto's subsurface ocean is composed of water with a significant concentration of ammonia exceeding 10%.,Pluto has a subsurface ocean that contains water.,0.7,0.6,0.5,0.609
A person randomly selected from the global population will have a PhD in Astrophysics.,A person randomly selected from the global population will not have a PhD in Astrophysics.,A person randomly selected from the global population will have a PhD in Astrophysics from a top-tier university.,A person randomly selected from the global population will have a PhD.,0.0,0.99991,0.0,0.0
Christopher Columbus was primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was not primarily motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,Christopher Columbus was primarily motivated by the desire to spread Christianity to indigenous peoples when he set sail on his first voyage in 1492.,Christopher Columbus was motivated by the desire to spread Christianity when he set sail on his first voyage in 1492.,0.519,0.7427499999999999,0.013499999999999956,0.8
The heart is located on the left side of the human body.,The heart is not located on the left side of the human body.,"The heart is located on the left side of the human body, specifically in the left thoracic cavity.",The heart is located in the chest.,0.07599999999999996,0.1975,0.697,1.0
There exists a species of spider that uses tools to hunt prey.,There does not exist a species of spider that uses tools to hunt prey.,There exists a species of spider that uses tools made from leaves to hunt prey.,There exists a species of spider that uses tools.,0.7,0.12,0.022499999999999964,0.55125
There are undiscovered species of deep-sea cephalopods larger than the giant squid.,There are no undiscovered species of deep-sea cephalopods larger than the giant squid.,"There are undiscovered species of deep-sea cephalopods larger than the giant squid that inhabit depths greater than 3,000 meters.",There are undiscovered species of deep-sea cephalopods.,0.5640000000000001,0.06,0.392,0.994
There is an undiscovered planet beyond Neptune in our solar system.,There is not an undiscovered planet beyond Neptune in our solar system.,There is an undiscovered planet beyond Neptune in our solar system that is at least the size of Earth.,There is a planet beyond Neptune in our solar system.,0.3825,0.18899999999999995,0.2355,0.425
Most adults in the United States own a smartphone.,Most adults in the United States do not own a smartphone.,Most adults in the United States own a smartphone that is capable of accessing the internet.,Most adults in the United States own a phone.,0.9698749999999999,0.0,0.997875,0.993625
There are more than 20 undiscovered species of mammals in the Amazon rainforest.,There are not more than 20 undiscovered species of mammals in the Amazon rainforest.,There are at least 30 undiscovered species of mammals in the Amazon rainforest.,There are undiscovered species of mammals in the Amazon rainforest.,0.95,0.009000000000000008,0.75,0.87475
Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement.,"""Martin Luther King Jr. was intended to be the initial leader of the Civil Rights Movement.""","Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement, as he was initially chosen as a temporary spokesperson for the Montgomery Bus Boycott.",Martin Luther King Jr. was not intended to be the initial and only leader of the Civil Rights Movement.,0.9025,0.027000000000000024,0.7919999999999999,0.9715
There is at least one Earth-like planet within 20 light years of Earth.,There is no Earth-like planet within 20 light years of Earth.,There is at least one Earth-like planet within 10 light years of Earth.,There is at least one Earth-like planet.,0.9,0.08999999999999997,0.764,0.8245
There exists at least one form of extraterrestrial microbial life in our solar system beyond Earth.,There does not exist any form of extraterrestrial microbial life in our solar system beyond Earth.,There exists at least one form of extraterrestrial microbial life in our solar system beyond Earth that is capable of surviving in extreme environments.,There exists microbial life in our solar system.,0.59,0.07500000000000001,0.255,0.17300000000000001
Life exists on other planets within our Milky Aay galaxy.,Life does not exist on other planets within our Milky Way galaxy.,Life exists on other planets within our Milky Way galaxy that are similar in conditions to Earth.,Life exists on other planets.,0.4475,0.0025000000000000022,0.875,0.745
"Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was not directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower, as evidenced by contemporary accounts from at least three reliable historical sources.","Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.24825,0.4875,0.06399999999999995,0.628
A platypus has more than 1000 genes associated with its venom.,A platypus does not have more than 1000 genes associated with its venom.,A platypus has more than 1000 genes specifically associated with its venom that are unique to its species.,A platypus has genes associated with its venom.,0.023999999999999994,0.967,0.07700000000000007,1.0
The rate of star formation in the universe has significantly decreased over the past 11 billion years.,The rate of star formation in the universe has not significantly decreased over the past 11 billion years.,The rate of star formation in the universe has significantly decreased by at least 50% over the past 11 billion years.,The rate of star formation in the universe has changed over the past 11 billion years.,0.987625,0.0050000000000000044,0.91525,0.994375
"Thomas Jefferson had a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson did not have a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson had a long-term romantic relationship with Sally Hemings, his slave, that lasted for over a decade.",Thomas Jefferson had a relationship with Sally Hemings.,0.9628749999999999,0.17300000000000001,0.8220000000000001,0.87475
Julius Caesar might have survived the Ides of March had the plot been discovered even a day earlier.,Julius Caesar could not have survived the Ides of March even if the plot had been discovered a day earlier.,Julius Caesar might have survived the Ides of March had the plot been discovered at least two days earlier.,Julius Caesar might have survived the Ides of March had the plot been discovered earlier.,0.609,0.573,0.75625,0.9
There is extraterrestrial life in the universe.,There is no extraterrestrial life in the universe.,There is intelligent extraterrestrial life in the universe.,There is life in the universe.,0.865,0.013499999999999998,0.425,0.99775
There is intelligent extraterrestrial life within our galaxy.,There is not intelligent extraterrestrial life within our galaxy.,There is intelligent extraterrestrial life within our galaxy that is capable of communicating with humans.,There is extraterrestrial life within our galaxy.,0.44875,0.37375,0.4870000000000001,0.83
Dark matter accounts for approximately 85% of the matter composition in the universe.,Dark matter does not account for approximately 85% of the matter composition in the universe.,"Dark matter accounts for approximately 85% of the matter composition in the universe, specifically in regions of space with low baryonic matter density.",Dark matter accounts for a significant portion of the matter composition in the universe.,0.9564999999999999,0.03875000000000001,0.98725,0.9995
The Hanging Gardens of Babylon were actually located in the city of Nineveh.,The Hanging Gardens of Babylon were not actually located in the city of Nineveh.,The Hanging Gardens of Babylon were actually located in the city of Nineveh and were built during the reign of King Sennacherib.,The Hanging Gardens of Babylon were located in a city in ancient Mesopotamia.,0.616,0.85,0.7075,0.682125
Half of all marriages in the United States end in divorce.,Half of all marriages in the United States do not end in divorce.,Half of all marriages in the United States end in divorce within the first five years.,Many marriages in the United States end in divorce.,0.08399999999999996,0.5582499999999999,0.006749999999999978,0.87025
"""The existence of extraterrestrial life in our universe.""","""The non-existence of extraterrestrial life in our universe.""","""The existence of intelligent extraterrestrial life in our universe.""","""The existence of life in our universe.""",0.9,0.022499999999999992,0.98125,0.8674999999999999
Venus hosts a form of microbial life within its atmosphere.,Venus does not host a form of microbial life within its atmosphere.,Venus hosts a specific form of microbial life that thrives in the upper atmosphere at temperatures between 20 to 30 degrees Celsius.,Venus hosts some form of life within its atmosphere.,0.5660000000000001,0.043749999999999956,0.015,0.09575
Dolphins are considered one of the most intelligent species on the planet.,Dolphins are not considered one of the most intelligent species on the planet.,"Dolphins are considered one of the most intelligent species on the planet, exhibiting problem-solving skills comparable to those of great apes.",Dolphins are considered one of the intelligent species on the planet.,0.95,0.03,0.909,0.9955
Earth-sized planets within the habitable zone of their stars commonly have magnetic fields similar in strength to that of Earth.,Earth-sized planets within the habitable zone of their stars do not commonly have magnetic fields similar in strength to that of Earth.,"Earth-sized planets within the habitable zone of their stars commonly have magnetic fields similar in strength to that of Earth, specifically within 10% of Earth's magnetic field strength.",Earth-sized planets within the habitable zone of their stars can have magnetic fields.,0.03999999999999998,0.12,0.07050000000000001,0.9625
